intern_id,name,gender,department,city,internship_month,duration_weeks,feedback_text,rating,sentiment,would_recommend,mentor_available,work_life_balance,learning_score
INT-001,Intern_1,Female,Finance,Lahore,Jan,5,My mentor was very knowledgeable and always ready to help,4,Positive,1,Sometimes,1,5
INT-002,Intern_2,Male,Finance,Multan,Nov,18,Very poor work culture and no respect for intern opinions,1,Negative,0,No,1,4
INT-003,Intern_3,Male,Operations,Karachi,Nov,5,Learned a lot about industry practices and real workflows,4,Positive,1,Yes,2,4
INT-004,Intern_4,Female,HR,Lahore,Sep,7,Very poor work culture and no respect for intern opinions,2,Negative,0,No,2,3
INT-005,Intern_5,Male,Finance,Multan,Nov,9,"Amazing environment, I learned so much during my internship",5,Positive,1,Sometimes,3,2
INT-006,Intern_6,Female,Design,Peshawar,Sep,10,My contributions were recognized which was very motivating,5,Positive,1,No,1,3
INT-007,Intern_7,Female,Marketing,Faisalabad,May,13,It was an average experience with some good and bad parts,3,Neutral,0,No,4,3
INT-008,Intern_8,Female,Design,Lahore,Oct,22,The training sessions were very informative and well structured,4,Positive,1,No,4,1
INT-009,Intern_9,Male,Design,Faisalabad,Apr,22,I appreciate how inclusive and diverse the workplace was,4,Positive,1,Sometimes,1,5
INT-010,Intern_10,Male,Sales,Lahore,Nov,15,The feedback sessions were very constructive and helpful,4,Positive,1,No,1,4
INT-011,Intern_11,Male,Sales,Peshawar,Jun,6,"Poor onboarding process, felt lost for the first few weeks",2,Negative,0,No,1,2
INT-012,Intern_12,Female,Marketing,Faisalabad,Dec,16,I was given real responsibilities which helped me grow,4,Positive,1,Yes,2,4
INT-013,Intern_13,Male,Design,Islamabad,Jul,21,Communication gaps between teams made work very difficult,2,Negative,0,Sometimes,2,4
INT-014,Intern_14,Male,Finance,Karachi,May,11,Learned a lot about industry practices and real workflows,5,Positive,1,No,2,5
INT-015,Intern_15,Male,HR,Islamabad,Nov,18,"I felt ignored most of the time, no proper guidance given",1,Negative,0,Sometimes,5,4
INT-016,Intern_16,Female,Marketing,Multan,Oct,4,Very poor work culture and no respect for intern opinions,1,Negative,0,No,4,4
INT-017,Intern_17,Female,Operations,Peshawar,Sep,6,The tasks were challenging but very rewarding and educational,4,Positive,1,No,4,3
INT-018,Intern_18,Male,Design,Islamabad,Mar,11,It was an average experience with some good and bad parts,3,Neutral,1,No,3,5
INT-019,Intern_19,Male,Marketing,Lahore,Jul,7,The training sessions were very informative and well structured,5,Positive,1,Yes,2,1
INT-020,Intern_20,Male,Engineering,Multan,Oct,19,Communication gaps between teams made work very difficult,2,Negative,0,Yes,5,2
INT-021,Intern_21,Male,Engineering,Multan,Oct,13,The projects assigned were real world and very impactful,4,Positive,1,Yes,5,4
INT-022,Intern_22,Female,Sales,Islamabad,Nov,15,The feedback sessions were very constructive and helpful,5,Positive,1,Sometimes,4,2
INT-023,Intern_23,Female,HR,Islamabad,May,17,The tasks were challenging but very rewarding and educational,5,Positive,1,Sometimes,2,1
INT-024,Intern_24,Female,Finance,Peshawar,Jul,17,I appreciate how inclusive and diverse the workplace was,5,Positive,1,Yes,3,2
INT-025,Intern_25,Female,HR,Karachi,Feb,5,Lack of resources and tools made it hard to complete tasks,2,Negative,0,Sometimes,2,1
INT-026,Intern_26,Male,HR,Islamabad,Apr,8,"Best internship experience, would highly recommend to others",5,Positive,1,No,1,3
INT-027,Intern_27,Male,HR,Islamabad,Feb,8,"Average internship, met some expectations but not all",3,Neutral,0,No,2,4
INT-028,Intern_28,Male,HR,Faisalabad,Dec,9,Overall disappointing experience with no career growth,2,Negative,0,No,1,1
INT-029,Intern_29,Female,Operations,Lahore,Jul,16,I was given real responsibilities which helped me grow,4,Positive,1,Yes,1,2
INT-030,Intern_30,Male,Operations,Faisalabad,Feb,12,The training sessions were very informative and well structured,5,Positive,1,Sometimes,3,4
INT-031,Intern_31,Female,Sales,Faisalabad,Nov,18,The onboarding process was smooth and well organized,4,Positive,1,Yes,4,3
INT-032,Intern_32,Female,Marketing,Multan,Jan,17,The onboarding process was smooth and well organized,4,Positive,1,Sometimes,2,4
INT-033,Intern_33,Male,Engineering,Karachi,Sep,10,I felt valued and appreciated throughout my internship,5,Positive,1,No,1,1
INT-034,Intern_34,Male,HR,Lahore,Jan,23,The projects assigned were real world and very impactful,5,Positive,1,Yes,2,3
INT-035,Intern_35,Male,Sales,Peshawar,Aug,5,I improved my communication and technical skills greatly,4,Positive,1,Sometimes,4,2
INT-036,Intern_36,Female,Marketing,Peshawar,Feb,10,"I felt ignored most of the time, no proper guidance given",1,Negative,0,Sometimes,4,3
INT-037,Intern_37,Male,Engineering,Islamabad,Dec,9,"Poor onboarding process, felt lost for the first few weeks",1,Negative,0,No,5,3
